City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Okha,RU,53.5739,142.9478,5.77,95,6,1.39,clear sky
273,Tiznit,MA,29.5833,-9.5,53.19,86,87,17.78,overcast clouds
274,Leshukonskoye,RU,64.8989,45.7622,18.54,77,9,10.42,clear sky
275,Misratah,LY,32.3754,15.0925,57.25,58,0,11.92,clear sky
276,Guangyuan,CN,32.442,105.823,60.93,51,100,16.24,overcast clouds
277,Livingston,GB,55.9029,-3.5226,55.76,71,40,4.61,scattered clouds
278,Dekar,BW,-21.5333,21.9333,77.32,39,100,3.74,overcast clouds
279,Port Hardy,CA,50.6996,-127.4199,41.18,87,75,5.75,broken clouds
280,Tigil,RU,57.8,158.6667,1.94,97,29,6.15,scattered clouds
281,Kupang,ID,-10.1667,123.5833,77.65,89,100,3.33,overcast clouds
282,Avera,US,33.194,-82.5271,63.55,49,100,7.45,overcast clouds
283,Diamantino,BR,-14.4086,-56.4461,88.38,61,74,4.99,broken clouds
284,Padang,ID,-0.9492,100.3543,75.54,68,91,4.83,overcast clouds
285,Junagarh,IN,19.8667,82.9333,80.65,48,25,4.16,scattered clouds
286,Ganzhou,CN,28.8184,115.4327,58.5,99,100,5.28,light rain
287,Lompoc,US,34.6391,-120.4579,84.69,65,40,8.05,scattered clouds
288,Ust-Nera,RU,64.5667,143.2,-10.93,99,89,2.57,overcast clouds
289,Bethel,US,41.3712,-73.414,45.01,93,100,5.99,overcast clouds
290,Hamilton,US,39.1834,-84.5333,55.98,47,75,19.57,broken clouds
291,Farmington,US,36.7281,-108.2187,67.21,18,0,19.57,clear sky
292,Sept-Iles,CA,50.2001,-66.3821,30.06,70,100,10.36,overcast clouds
293,La Roche-Sur-Yon,FR,46.6667,-1.4333,53.87,50,0,5.75,clear sky
294,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,27.63,scattered clouds
295,Brae,GB,60.3964,-1.353,47.88,93,26,16.42,scattered clouds
296,Port-Gentil,GA,-0.7193,8.7815,82.36,83,20,9.22,few clouds
297,Morant Bay,JM,17.8815,-76.4093,87.71,64,9,14.74,clear sky
298,Mino,JP,34.8269,135.4706,45.9,83,6,2.3,clear sky
299,Colares,PT,38.7992,-9.4469,59.76,76,100,8.99,light rain
300,Maumere,ID,-8.6199,122.2111,79.93,82,91,3.58,overcast clouds
301,Lalmohan,BD,22.3384,90.7419,78.22,86,8,13.76,clear sky
302,Suzhou,CN,31.3114,120.6181,57.04,84,100,13.67,light rain
303,Nauta,PE,-4.5061,-73.5757,83.55,85,34,4.03,scattered clouds
304,Victoria,HK,22.2855,114.1577,71.94,94,100,15.99,overcast clouds
305,Sri Aman,MY,1.2376,111.4621,77.09,94,63,0.0,broken clouds
306,Umm Lajj,SA,25.0213,37.2685,62.91,46,0,16.22,clear sky
307,San Ramon,US,37.7799,-121.978,75.81,55,0,6.91,clear sky
308,Belaya Gora,RU,68.5333,146.4167,-10.1,100,96,3.15,overcast clouds
309,Trat,TH,12.5,102.5,82.9,86,5,0.69,clear sky
310,Aksu,CN,41.1231,80.2644,46.36,62,100,11.45,overcast clouds
311,Narsaq,GL,60.9167,-46.05,28.71,66,100,1.97,overcast clouds
312,Salalah,OM,17.0151,54.0924,75.02,75,7,2.04,clear sky
313,Jalu,LY,29.0331,21.5482,57.61,36,4,7.16,clear sky
314,Formosa,AR,-26.1775,-58.1781,78.78,73,100,16.11,overcast clouds
315,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.63,74,40,8.05,scattered clouds
316,Luderitz,NA,-26.6481,15.1594,66.67,78,0,20.54,clear sky
317,Ilovka,RU,50.7053,38.637,24.82,90,5,4.79,clear sky
318,Pevek,RU,69.7008,170.3133,7.05,97,98,2.33,overcast clouds
319,Aklavik,CA,68.2191,-135.0107,-16.6,76,0,2.3,clear sky
320,Te Anau,NZ,-45.4167,167.7167,43.48,93,12,1.1,few clouds
321,Luang Prabang,LA,19.8856,102.1347,73.13,95,94,2.06,overcast clouds
322,Mezen,RU,65.8522,44.24,20.37,73,100,12.44,overcast clouds
323,San Patricio,US,28.017,-97.5169,78.89,18,0,15.1,clear sky
324,Leningradskiy,RU,69.3833,178.4167,-16.22,100,100,5.59,overcast clouds
325,Tual,ID,-5.6667,132.75,79.93,83,100,15.39,overcast clouds
326,Huarmey,PE,-10.0681,-78.1522,75.02,75,86,11.23,overcast clouds
327,Ballina,AU,-28.8667,153.5667,68.02,96,73,4.61,broken clouds
328,Salaga,GH,8.5508,-0.5188,90.43,37,56,4.34,broken clouds
329,Bubaque,GW,11.2833,-15.8333,75.76,72,6,18.32,clear sky
330,Mantua,IT,45.1667,10.7833,60.04,40,0,1.01,clear sky
331,Vaitape,PF,-16.5167,-151.75,80.62,74,61,12.97,light rain
332,Verkhoyansk,RU,67.5447,133.385,-15.34,100,96,1.25,overcast clouds
333,Ardatov,RU,55.2421,43.097,32.52,85,100,8.48,overcast clouds
334,Puerto Escondido,MX,15.85,-97.0667,86.13,63,47,10.45,scattered clouds
335,La Asuncion,VE,11.0333,-63.8628,92.93,52,4,20.71,clear sky
336,Broken Hill,AU,-31.95,141.4333,56.91,54,0,11.5,clear sky
337,Sigulda,LV,57.1519,24.8647,35.74,81,38,2.48,scattered clouds
338,Nanortalik,GL,60.1432,-45.2371,29.8,75,100,7.65,overcast clouds
339,Owando,CG,-0.4819,15.8999,80.02,57,3,2.19,clear sky
340,Coihaique,CL,-45.5752,-72.0662,59.61,62,75,5.75,broken clouds
341,Da Nang,VN,16.0678,108.2208,78.78,89,75,3.44,broken clouds
342,Coruripe,BR,-10.1256,-36.1756,82.65,64,62,10.02,broken clouds
343,Bull Savanna,JM,17.8868,-77.5902,81.63,57,13,21.05,few clouds
